iter	RMSE
0	0.3781949324
1	0.3673028677
2	0.3567791941
3	0.3466468323
4	0.3360898658
5	0.3273864005
6	0.3182797781
7	0.3095317124
8	0.3015436256
9	0.29469784
10	0.2880249125
11	0.2812884383
12	0.2749513093
13	0.2685779972
14	0.2633973925
15	0.25817161
16	0.2529843615
17	0.247326693
18	0.242343363
19	0.2380008752
20	0.2335003274
21	0.2284313317
22	0.2238783011
23	0.2200129831
24	0.2162177623
25	0.2122133189
26	0.2087728799
27	0.2051129561
28	0.2024169836
29	0.1997444774
30	0.1966843956
31	0.1941533237
32	0.1911685898
33	0.1883100474
34	0.185920376
35	0.1838759684
36	0.1817345157
37	0.1794003068
38	0.1772959797
39	0.1753093004
40	0.1734007715
41	0.1716056098
42	0.1703015673
43	0.1685518663
44	0.1669852628
45	0.1657885581
46	0.1641980824
47	0.1626875276
48	0.1613968549
49	0.1600684006
50	0.1588120784
51	0.157562599
52	0.1564486556
53	0.1555263503
54	0.1547084186
55	0.1536118825
56	0.1527170215
57	0.1517076525
58	0.1507707763
59	0.1497794937
60	0.1488321894
61	0.1479041187
62	0.1471468823
63	0.1462097039
64	0.1456354086
65	0.1448539781
66	0.1439726634
67	0.1435731458
68	0.1428238063
69	0.1421435517
70	0.1413024641
71	0.1406266769
72	0.1397328739
73	0.1389775723
74	0.1383269898
75	0.1374541674
76	0.1366519961
77	0.1358685548
78	0.1352522619
79	0.1349465222
80	0.1342680553
81	0.1336479758
82	0.133061442
83	0.1326872826
84	0.1322202964
85	0.131769118
86	0.1312969012
87	0.1308969372
88	0.1304392542
89	0.1298771683
90	0.1294425729
91	0.128985484
92	0.128561892
93	0.1282344216
94	0.1278062425
95	0.1275124187
96	0.1272172308
97	0.1269452647
98	0.1265395259
99	0.1261921747
100	0.1258540579
101	0.1254036613
102	0.1247564423
103	0.1241708157
104	0.1237594868
105	0.1235350724
106	0.1230093542
107	0.1226886054
108	0.1223178183
109	0.1220006606
110	0.1216227997
111	0.1212755548
112	0.1209982941
113	0.1206305485
114	0.1203098633
115	0.1199910727
116	0.1198382094
117	0.1195775983
118	0.1194986635
119	0.1192154117
120	0.1189003384
121	0.1185299125
122	0.118293368
123	0.1180008659
124	0.1177503738
125	0.1176216846
126	0.1174012292
127	0.1170690495
128	0.116808936
129	0.1165125376
130	0.1162782836
131	0.1160148679
132	0.1157445189
133	0.1155934953
134	0.115472049
135	0.1152047285
136	0.1149564117
137	0.1147658959
138	0.1144638243
139	0.1143193628
140	0.1141243986
141	0.1138597766
142	0.1135577165
143	0.1132866817
144	0.113093576
145	0.1129026258
146	0.1127775307
147	0.1125732129
148	0.1123944512
149	0.1122888315
150	0.111988087
151	0.1117546381
152	0.1115576132
153	0.1114408612
154	0.1112083965
155	0.1109740327
156	0.1109664715
157	0.1109415869
158	0.1108989613
159	0.1106904239
160	0.110593058
161	0.11050665
162	0.110254255
163	0.1101525432
164	0.1099927039
165	0.1098951472
166	0.1097613934
167	0.1096848079
168	0.1096213664
169	0.1094725612
170	0.1093641073
171	0.1092187299
172	0.1090099488
173	0.1088723805
174	0.1086347195
175	0.1085796245
176	0.1084055996
177	0.108290459
178	0.108103269
179	0.1078447438
180	0.1076234013
181	0.1075192794
182	0.1073649317
183	0.1070148119
184	0.1068902324
185	0.1067377183
186	0.1066432876
187	0.1064239414
188	0.1063319237
189	0.1061271695
190	0.1060835002
191	0.1058974512
192	0.1058330491
193	0.1057041041
194	0.1056078313
195	0.1053379153
196	0.1052133976
197	0.1050032323
198	0.1047351251
199	0.1046097724
200	0.1044666916
201	0.1043333153
202	0.1042527088
203	0.1041593253
204	0.1040469311
205	0.1039952022
206	0.1039261236
207	0.1037272246
208	0.1034933709
209	0.1033921711
210	0.1031941495
211	0.103120553
212	0.1029410438
213	0.1027476689
214	0.1025842227
215	0.1024714394
216	0.1022776079
217	0.1022469855
218	0.1022035076
219	0.1021443832
220	0.1020836026
221	0.1019382985
222	0.1017238176
223	0.1015815888
224	0.10143435
225	0.10113044
226	0.101084816
227	0.1010579291
228	0.1010152915
229	0.100955805
230	0.1008540277
231	0.1008287451
232	0.1006861436
233	0.1006344481
234	0.1005355889
235	0.100500338
236	0.1003035614
237	0.1002409616
238	0.1001834698
239	0.1000945246
240	0.1000035104
241	0.0999093312
242	0.09980628624
243	0.09977919546
244	0.09966062456
245	0.09947516942
246	0.09933416947
247	0.09931384483
248	0.09929460972
249	0.09925500633
250	0.09915072299
251	0.09908626014
252	0.0990628755
253	0.09894487882
254	0.0989075887
255	0.098876248
256	0.09884671312
257	0.09878699595
258	0.09877029103
259	0.09869268126
260	0.09854498872
261	0.09839676796
262	0.09833108308
263	0.0982673088
264	0.0981364696
265	0.09810136221
266	0.09800193738
267	0.09784968873
268	0.09770733867
269	0.09759320135
270	0.09755877605
271	0.09752624308
272	0.0974959768
273	0.09743989736
274	0.09743327564
275	0.09739268253
276	0.0972929072
277	0.0972791322
278	0.0972237188
279	0.09718670677
280	0.09708912061
281	0.09706592845
282	0.09703385057
283	0.09693319188
284	0.09692700033
285	0.09691631096
286	0.09688195951
287	0.09677973508
288	0.09665283412
289	0.09655254338
290	0.09652958857
291	0.09652389768
292	0.09644544264
293	0.09640478843
