iter	Passed	Remaining
0	76	153695
1	156	156444
2	257	171374
3	341	170525
4	425	169924
5	499	165872
6	604	172036
7	683	170244
8	777	171933
9	870	173306
10	969	175318
11	1080	178948
12	1169	178766
13	1282	181872
14	1380	182728
15	1477	183183
16	1582	184640
17	1686	185668
18	1783	185928
19	1875	185664
20	1972	185859
21	2068	185956
22	2171	186686
23	2275	187369
24	2366	186922
25	2463	187045
26	2540	185641
27	2636	185654
28	2733	185780
29	2859	187772
30	2957	187874
31	3038	186858
32	3130	186588
33	3223	186421
34	3314	186082
35	3409	185996
36	3523	186957
37	3611	186453
38	3683	185223
39	3754	183975
40	3825	182804
41	3919	182719
42	4007	182383
43	4099	182233
44	4190	182046
45	4297	182552
46	4406	183116
47	4506	183269
48	4603	183301
49	4693	183028
50	4764	182078
51	4861	182128
52	4970	182612
53	5077	182975
54	5175	183016
55	5266	182840
56	5366	182920
57	5451	182537
58	5547	182513
59	5642	182450
60	5740	182465
61	5809	181589
62	5886	180983
63	5976	180791
64	6075	180874
65	6158	180470
66	6246	180216
67	6344	180261
68	6489	181609
69	6579	181392
70	6676	181394
71	6799	182078
72	6902	182205
73	6975	181550
74	7079	181704
75	7172	181567
76	7285	181960
77	7357	181306
78	7426	180575
79	7494	179877
80	7566	179249
81	7637	178632
82	7704	177955
83	7793	177772
84	7868	177267
85	7951	176957
86	8032	176618
87	8120	176441
88	8200	176080
89	8310	176369
90	8438	177016
91	8511	176512
92	8587	176094
93	8673	175861
94	8758	175639
95	8856	175661
96	8973	176051
97	9109	176804
98	9215	176957
99	9295	176610
100	9374	176267
101	9448	175823
102	9527	175470
103	9611	175226
104	9694	174959
105	9787	174885
106	9900	175147
107	9997	175140
108	10086	174992
109	10184	174981
110	10285	175037
111	10379	174975
112	10457	174630
113	10559	174700
114	10644	174484
115	10739	174430
116	10842	174498
117	10950	174650
118	11059	174810
119	11155	174772
120	11250	174714
121	11334	174471
122	11420	174283
123	11492	173872
124	11593	173897
125	11688	173839
126	11770	173594
127	11876	173700
128	11973	173661
129	12068	173598
130	12161	173514
131	12265	173568
132	12344	173285
133	12434	173156
134	12521	172981
135	12594	172621
136	12702	172730
137	12797	172673
138	12906	172792
139	13010	172848
140	13107	172818
141	13213	172895
